SPLEase,alertvolume,app,category,dashboard,datasource,description,displayapp,domain,examples{}.label,examples{}.name,gdpr,gdprtext,hasSearch,help,highlight,host,howToImplement,ids_type,images{}.label,images{}.name,images{}.path,journey,killchain,knownFP,mitre,name,name_label,operationalize,released,relevance,similarUseCases{},story,usecase
,Other,Splunk_User_Behavior_Analytics,Lateral Movement|Insider Threat|Account Compromise|IAM Analytics,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/UBA_Use_Case,Audit Trail,Multiple Login Errors,Splunk User Behavior Analytics,Other,,,,,No,Help not needed -- UBA Use Case,No,ubuntu8971,,,,,,Stage_4,None,,None,Multiple Login Errors,multiple_login_errors,,,,,,Advanced Threat Detection|Insider Threat|Security Monitoring|Compliance
None,Medium,Enterprise_Security_Content_Update,Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ESCU_Use_Case,Endpoint Detection and Response,"This search looks for powershell processes started with a base64 encoded command line passed to it, with parameters to modify the execution policy for the process, and those that prevent the display of an interactive prompt to the user. This combination of command line options is suspicious because it overrides the default powershell execution policy, attempts to hide itself from the user, and passes an encoded script to be run on the command line.",Enterprise Security Content Update,Endpoint,,,,,No,"This search looks for powershell processes that have a number of suspicious flags on the command line. It is looking for flags are passing encoded commands on the command line. The flags ""-EncodedCommand"" and ""-enc"" are two different possible flags that can be used to pass base64 encoded commands to powershell. The ""*-Exec*"" flag looks to see it the default execution policy of powershell is being overridden. The ""*-NonI*"" flag tells the powershell process that this will be a noninteractive process, so the user doesn't know about the process. This search will return the host, the user the process ran under, the process and it's command line arguments, the number of times it's seen this process, and the first and last times it saw this process.",No,ubuntu8971,,,,,,Stage_3,Command and Control|Actions on Objective,,Execution,Malicious PowerShell Process - Multiple Suspicious Command Line Arguments,detection_malicious_powershell_process_multiple_suspicious_arguments,,,,,Malicious PowerShell,Advanced Threat Detection
,Other,Splunk_User_Behavior_Analytics,Lateral Movement|Endpoint Compromise|Data Exfiltration,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/UBA_Use_Case,Network Communication,Suspicious Data Movement,Splunk User Behavior Analytics,Other,,,,,No,Help not needed -- UBA Use Case,Yes,ubuntu8971,,,,,,Stage_6,None,,None,Suspicious Data Movement,suspicious_data_movement,,,,,,Advanced Threat Detection|Advanced Threat Detection|Insider Threat
None,Other,Splunk_Professional_Services,Account Sharing,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,Authentication,Detection of logon device by asset name (may require resolution from IP) when logon user does not match the owner and the number of unique owned devices is greater than two in the prior 24 hours.,Splunk Professional Services,Access,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_3,None,,None,User account sharing detection by source device ownership,UC0088,,,,,,Security Monitoring
None,Other,Splunk_Professional_Services,Web Attack,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,Web Server,Communication to any web application server without filtering by a network web application firewall indicates a security misconfiguration.,Splunk Professional Services,Network,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_3,None,,None,WAF Logs Show Unexpected Source IP,UC0085,,,,,,Application Security
None,Other,Splunk_Professional_Services,Operations,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,Ticketing System,"Define and maintain event types for unsuppressed notable events separately identifying review workflow, and triage SLA required.",Splunk Professional Services,Operations,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_5,None,,None,Monitor Execution of Triage Activtity,UC0084,,,,,,Security Monitoring
Hard,Very Low,Splunk_Security_Essentials,Account Compromise|SaaS,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_standard_deviation?ml_toolkit.dataset=Spike%20in%20Password%20Reset%20Emails%20-%20Demo,Email,<p>Sending password reset emails is a common phishing technique. Protect your users by identifying spikes in the number of suspicious emails entering your environment.</p><p><b>Alert Volume:</b> Very Low</p>,Splunk Security Essentials,Network,"Demo Data
Live Data
Accelerated Data","Spike in Password Reset Emails - Demo
Spike in Password Reset Emails - Live
Spike in Password Reset Emails - Accelerated",,,Yes,<p>This example leverages the Detect Spikes (standard deviation) search assistant. Our dataset is an anonymized collection of email logs centered around a particular user for a month.</p>,No,ubuntu8971,"<p>Implementation of this example (or any of the Time Series Spike / Standard Deviation examples) is generally pretty simple. <ul><li>Validate that you have the right data onboarded, and that the fields you want to monitor are properly extracted. If the base search you see in the box below returns results.</li><li>Save the search to run over a long period of time (recommended: at least 30 days).</li></ul></p><p>For most environments, these searches can be run once a day, often overnight, without worrying too much about a slow search. If you wish to run this search more frequently, or if this search is too slow for your envionment, we recommend using a summary index that first aggregates the data. We will have documentation for this process shortly, but for now you can look at Summary Indexing descriptions such as <a href=""http://docs.splunk.com/Documentation/SplunkCloud/6.6.3/Knowledge/Usesummaryindexing"">here</a> and <a href=""http://www.davidveuve.com/tech/how-i-do-summary-indexing-in-splunk/"">here</a>.</p>",,,,,Stage_3,Delivery,"<p class=""disclaimer"">This is a strictly behavioral search, so we define ""false positive"" slightly differently. Every time this fires, it will accurately a spike in the number we're monitoring... it's nearly impossible for the math to lie. But while there are really no ""false positives"" in a traditional sense, there is definitely lots of noise.</p> <p>How you handle these alerts depends on where you set the standard deviation. If you set a low standard deviation (2 or 3), you are likely to get a lot of events that are useful only for contextual information. If you set a high standard deviation (6 or 10), the amount of noise can be reduced enough to send an alert directly to analysts.</p>",,Spike in Password Reset Emails,showcase_spike_in_password_reset_emails,"<p>When this search returns values, initiate your incident response process and capture the time of the event, the sender, recipient, subject or the mail and attachments, if any. Contact the sender. If it is authorized behavior, make a document that this is authorized and by whom. If not, the user credentials may have been used by another party and additional investigation is warranted.</p>",1.2.0,,,,Security Monitoring
None,Other,Splunk_Professional_Services,Scanning|Network Attack,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,Network Communication,Communication from a enclave network may indicate a misconfiguration that could weaken the security posture of the organization or actual/attempted compromise. ,Splunk Professional Services,Network,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_4,None,,None,New Rule allowing Traffic to or from Protected Network,UC0083,,,,,,Security Monitoring
None,Other,Splunk_Professional_Services,Lateral Movement|Scanning|Network Attack,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,Network Communication,"Communication from an enclave network may indicate a misconfiguration that could weaken the security posture of the organization or actual/attempted compromise. Communication filtered by the default rule implies no explicit permission for communication has been granted and should be reviewed. Consider ingress communication allowed by the default rule, and egress communication allowed or blocked.",Splunk Professional Services,Network,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_4,None,,None,Communication with enclave by default rule,UC0082,,,,,,Advanced Threat Detection|Security Monitoring
,Other,Splunk_User_Behavior_Analytics,Data Exfiltration|Unauthorized Software,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/UBA_Use_Case,DLP,Unusual USB Activity,Splunk User Behavior Analytics,Other,,,,,No,Help not needed -- UBA Use Case,No,ubuntu8971,,,,,,Stage_4,None,,None,Unusual USB Activity,unusual_usb_activity,,,,,,Insider Threat|Security Monitoring
