actions_UBASeverity,cardinalityTest,change_type,description,examples_name,label,outlierPeerGroup,outlierValueTracked1,outlierValueTracked2,outlierVariable,outlierVariableSubject,prereqs_field,prereqs_greaterorequalto,prereqs_name,prereqs_override_auto_finalize,prereqs_resolution,prereqs_test,value
,index=*  sourcetype=cisco:esa* OR sourcetype=MSExchange*:MessageTracking OR tag=email src_user=* | bucket _time span=1d | stats dc(src_user) as count by _time ,,"First we pull in our email dataset.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per src_ip, per day.",Spike in Email from Address - Live,Spike in Email from Address - Live,,,,count,sender,count,1,Must have Email Data,,"This search requires Email data. The out of the box field extractions support the Common Information Model, including Cisco ESA/Ironport and Microsoft Exchange. If you don't have this data today, we highly recommend ingesting it with the <a href=""https://splunkbase.splunk.com/app/1761/"">Cisco ESA TA</a> or the <a href=""https://splunkbase.splunk.com/app/3225/"">Splunk Add-on for Microsoft Exchange</a>. For best performance, accelerate the email data model from the <a href=""https://splunkbase.splunk.com/app/1621/"">Common Information Model</a>!",| tstats count where index=* sourcetype=cisco:esa* OR sourcetype=MSExchange*:MessageTracking OR tag=email earliest=-4h,"index=* sourcetype=cisco:esa* OR sourcetype=MSExchange*:MessageTracking OR tag=email src_user=*
| bucket _time span=1d 
| stats count by src_user, _time"
,"index=* sourcetype=""WinEventLog:Security"" Logon_Type=2 OR Logon_Type=10 OR Logon_Type=11 Logon Type TaskCategory=Logon Audit Success | bucket _time span=1d | stats dc(dest) as count by _time",,"First we pull in our dataset of Windows Authentication events specifying interactive logon types.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per system, per day.",Increase in Interactively Logged In Users - Live,Increase in Interactively Logged In Users - Live,,,,count,dest,count,1,Must have Windows Security data,,"This search requires Windows Security data to run. If it is not present, consider ingesting it via the Splunk Universal Forwarder.","| metasearch earliest=-2h latest=now index=* sourcetype=""WinEventLog:Security"" | head | stats count ","index=* sourcetype=""WinEventLog:Security"" Logon_Type=2 OR Logon_Type=10 OR Logon_Type=11 Logon Type TaskCategory=Logon Audit Success 
| bucket _time span=1d 
| stats dc(user) as count by _time dest"
,| tstats summaries_only=t allow_old_summaries=t count from datamodel=Email by _time span=1d | eval count=1,,"Here, tstats is pulling in one command a super-fast count of emails where the subject contains ""Password Reset"" per src_ip, per day.
We're adding a Password Reset tag to this. You could also expand this out for multiple items, including new phishing campaigns.",Spike in Password Reset Emails - Accelerated,Spike in Password Reset Emails - Accelerated,,,,count,Detect_Type,"count
count
count","1
1
1","Must have an Email data model
Must have an Accelerated Email data model
Must have Subjects (All_Email.subject) in your Accelerated Email data model",,"This search requires an Email data. This is dependent on the <a href=""https://splunkbase.splunk.com/app/1621/"">Common Information Model</a> being present, and also having your data mapped to CIM via appropriate TAs, usually with the out of the box field extractions from the <a href=""https://splunkbase.splunk.com/app/1761/"">Cisco ESA TA</a>, the <a href=""https://splunkbase.splunk.com/app/3225/"">Splunk Add-on for Microsoft Exchange</a>, etc.
This search requires an accelerated Email data. In order to run a fast accelerated search, you should accelerate your data model. (<a href=""https://docs.splunk.com/Documentation/Splunk/latest/HadoopAnalytics/Configuredatamodelacceleration#Accelerate_the_data_model"">docs</a>)
This search assumes that you have actual source email addresses -- check your field extractions for src_user and then rebuild your data models if not.","| tstats summaries_only=f allow_old_summaries=t count from datamodel=Email where earliest=-1h
| tstats summaries_only=t allow_old_summaries=t count from datamodel=Email where earliest=-1h
| tstats summaries_only=t allow_old_summaries=t dc(All_Email.subject) as count from datamodel=Email where earliest=-1h","| tstats summaries_only=t allow_old_summaries=t count from datamodel=Email where All_Email.subject=""*Password Reset*"" by _time span=1d 
| eval Detect_Type=""Password Reset"""
,index=* sourcetype=Cerner | bucket_time span=1d | stats dc(prsnl_name) as count by  _time,,"First we pull in our Cerner audit log dataset.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per user, per day.",Number of Unique Patient Records Viewed Per Day - Live,Number of Unique Patient Records Viewed Per Day - Live,,,,count,prsnl_name,"count
count
count","1
1
1","Must have Cerner data (or similar healthcare data)
Must have a prsnl_id defined in your data
Must have a ""event_list.participants.person_id"" defined in your data",,"While this use case applies to any similar data, our sample search is looking for a sourcetype of Cerner somewhere. 
You should have a field called ""prsnl_id"" defined in your Cerner logs. If that's not currently extracted, build an extraction for it (or do an inline rex in the SPL below to work around this).
You should have a field called ""event_list.participants.person_id"" defined in your Cerner logs. If that's not currently extracted, build an extraction for it (or do an inline rex in the SPL below to work around this).","| metasearch earliest=-24h latest=now index=* sourcetype=Cerner | head 100 | stats count 
earliest=-2h latest=now index=* sourcetype=Cerner| head 100 | stats dc(prsnl_id) as count 
earliest=-2h latest=now index=* sourcetype=Cerner| head 100 | stats dc(""event_list.participants.person_id"") as count ","index=* sourcetype=Cerner 
| bucket_time span=1d 
| stats dc(""event_list.participants.person_id"") as count by prsnl_name  _time"
,"| `Load_Sample_Log_Data(""Email Logs"")`| bucket _time span=1d | stats values(eval(""1"")) by _time ",,"First we pull in our demo dataset.
Based on the message subject, tag it with a value for Detect_Type
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per detection type tag, per day.",Spike in Password Reset Emails - Demo,Spike in Password Reset Emails - Demo,,,,count,Detect_Type,Anonymized_Email_Logs.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah ","| `Load_Sample_Log_Data(""Email Logs"")`
| eval Detect_Type="""", Detect_Type=case(LIKE(Subject, ""%Password Reset%""), ""Password Reset"", LIKE(Subject, ""%Validate Credentials%""), ""Validate Credentials"",1=1, null) 
| bucket _time span=1d 
| stats count by _time Detect_Type "
,index=* sourcetype=aws:cloudtrail eventName=ConsoleLogin OR eventName=CreateImage OR eventName=AssociateAddress OR eventName=AttachInternetGateway OR eventName=AttachVolume OR eventName=StartInstances OR eventName=StopInstances OR eventName=UpdateService OR eventName=UpdateLoginProfile | bucket _time span=1d | stats dc(user) as count by _time,,"First we bring in our basic dataset, AWS CloudTrail logs that are filtered for interesting APIs.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Next we use stats to summarize the number of events per user per day.",AWS APIs Called More Often Than Usual Per Account - Live,AWS APIs Called More Often Than Usual Per Account - Live,,,,count,user,count,1,Must have AWS CloudTrail data,,"In order to run this search, you must have AWS CloudTrail data onboard. Visit the <a href=""/app/Splunk_Security_Essentials/data_source?technology=AWS%20CloudTrail"">data onboarding guide for AWS CloudTrail in this app</a>, or browse to <a href=""https://splunkbase.splunk.com/app/1876/"">apps.splunk.com</a> for more information.",| tstats count where earliest=-2h latest=now index=* sourcetype=aws:cloudtrail,"index=* sourcetype=aws:cloudtrail eventName=ConsoleLogin OR eventName=CreateImage OR eventName=AssociateAddress OR eventName=AttachInternetGateway OR eventName=AttachVolume OR eventName=StartInstances OR eventName=StopInstances OR eventName=UpdateService OR eventName=UpdateLoginProfile 
| bucket _time span=1d 
| stats count by user _time"
,"| `Load_Sample_Log_Data(""SFDC Data"")` | search EVENT_TYPE=DocumentAttachmentDownloads | bucket _time span=1d | stats values(eval(""1"")) as count by _time ",,"First we pull in our demo SFDC dataset.
Then we filter for what we're looking for in this use case, specifically the DocumentAttachmentDownloads EVENT_TYPE.
Then we enrich to convert the SFDC USER_ID into a friendly username via a lookup.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per user, per day.",Spike in SFDC Documents Downloaded - Demo,Spike in SFDC Documents Downloaded - Demo,,,,count,USER_NAME,SFDC_Sample_Data_Anon.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah ","| `Load_Sample_Log_Data(""SFDC Data"")` 
| search EVENT_TYPE=DocumentAttachmentDownloads 
| lookup SFDC_User_Lookup USER_ID 
| bucket _time span=1d 
| stats count by USER_NAME _time"
,"|  `Load_Sample_Log_Data(""Windows Logon Activity"")`| bucket _time span=1d | stats dc(user) as count by _time ",,"First we pull in our demo dataset.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per user, per day.",Unique Hosts Logged Into Per Day - Demo,Unique Hosts Logged Into Per Day - Demo,,,,count,user,Sampled_AnonymizedLogonActivity.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah ","|  `Load_Sample_Log_Data(""Windows Logon Activity"")`
| bucket _time span=1d 
| stats dc(anonymized_ComputerName) as count by user _time"
,| inputlookup UC_smb_spike_detection | search (dest_port=139 OR dest_port=445) | bucket _time span=1d | stats dc(src_ip) as count by _time ,,"First we pull in our demo dataset of Firewall logs
Next we filter for just SMB connections.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the last day.
Now we are looking at the number of unique destinations per source IP, per day.",Detect Spike in SMB Traffic - Demo,Detect Spike in SMB Traffic - Demo,,,,count,src_ip,UC_smb_spike_detection.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah ","| inputlookup UC_smb_spike_detection 
| search (dest_port=139 OR dest_port=445) 
| bucket _time span=1d 
| stats dc(dest_ip) as count by src_ip, _time"
,(tag=network tag=communicate) OR (index=pan_logs sourcetype=pan*traffic) OR (index=* sourcetype=opsec) OR (index=* sourcetype=cisco:asa)  | bucket _time span=1d | stats dc(src_ip) as count by _time ,,"First we pull in our Firewall dataset (we should specify a single index and sourcetype in production environments).
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per src_ip, per day.",Distinct Hosts Communicated With Per Day - Live,Distinct Hosts Communicated With Per Day - Live,,,,count,src_ip,"count
count","1
1","Must have Firewall data
Must have a src_ip and dest_ip field",,"This search requires Firewall or Netflow data to run. By default, we're checking for Common Information Model compliant data, and then also manually specifying the standard sourcetypes for Check Point, Palo Alto Networks, and Cisco ASAs. You should specify your particular index and sourcetype in the actual search to improve performance (or better yet, accelerate with the common information model!)
This search is also looking for firewall logs, but with the added filter of making sure that a src_ip and dest_ip is defined.","(tag=network tag=communicate) OR (index=pan_logs sourcetype=pan*traffic) OR (index=* sourcetype=opsec) OR (index=* sourcetype=cisco:asa)| head 100 | stats count 
((tag=network tag=communicate) OR (index=pan_logs sourcetype=pan*traffic) OR (index=* sourcetype=opsec) OR (index=* sourcetype=cisco:asa)) src_ip=* dest_ip=* | head 100 | stats count ","(tag=network tag=communicate) OR (index=pan_logs sourcetype=pan*traffic) OR (index=* sourcetype=opsec) OR (index=* sourcetype=cisco:asa)  
| bucket _time span=1d 
| stats dc(dest_ip) as count by src_ip, _time"
